categories,count
administrative_services,382
advertising,1224
agriculture_and_farming,259
apps,3380
artificial_intelligence,4406
biotechnology,1015
clothing_and_apparel,442
commerce_and_shopping,3323
community_and_lifestyle,1101
consumer_electronics,2607
consumer_goods,654
content_and_publishing,1562
data_and_analytics,7083
design,1305
education,959
energy,465
events,458
financial_services,2148
food_and_beverage,719
gaming,608
government_and_military,226
hardware,6008
health_care,2254
information_technology,5934
internet_services,7366
lending_and_investments,480
manufacturing,745
media_and_entertainment,4286
messaging_and_telecommunications,1305
mobile,5457
music_and_audio,505
natural_resources,320
navigation_and_mapping,631
payments,1133
platforms,1101
privacy_and_security,1431
professional_services,863
real_estate,834
sales_and_marketing,2595
science_and_engineering,5249
software,14989
sports,625
sustainability,489
transportation,1314
travel_and_tourism,503
video,1135
